Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9,Value 10
2,46,8,996,54,1,3,2,17,10
1,28,3,526,98,2,3,1,5,6
1,4,5,379,85,2,1,2,28,2
2,15,6,972,39,2,5,1,60,6
2,54,10,1,176,1,4,1,9,2
2,65,6,5,157,1,2,2,104,0
1,10,2,599,162,1,5,1,97,9
1,20,1,788,67,2,3,1,93,7
1,37,2,565,4,2,4,1,72,7
1,45,0,242,199,1,4,2,71,2
1,53,1,890,81,1,5,1,34,8
2,32,0,377,133,1,4,1,18,7
1,28,0,352,24,1,4,2,94,8
2,26,8,113,1,1,4,1,102,10
1,97,2,824,166,2,2,1,64,5
1,91,1,973,150,1,0,1,57,8
1,34,6,192,183,2,2,2,60,10
1,4,9,799,47,1,2,1,90,9
2,31,5,878,15,1,2,1,70,6
1,13,3,766,92,2,2,1,7,3
1,36,8,947,166,1,3,1,93,0
1,4,8,698,191,2,5,2,65,9
2,26,3,477,6,1,4,1,47,10
2,59,8,530,117,1,4,1,38,0
2,17,3,855,160,2,1,1,1,3
2,19,10,740,33,2,4,1,36,0
1,55,10,360,46,2,5,2,78,0
1,9,3,829,165,2,1,1,62,1
2,24,6,420,137,1,2,1,76,9
2,53,5,45,61,1,0,2,23,4
1,21,6,571,77,2,1,1,27,9
1,81,6,838,110,2,5,2,25,9
1,87,3,16,185,1,4,2,71,7
1,11,4,268,48,2,5,2,87,10
1,52,9,498,7,1,5,2,0,7
2,99,3,197,50,2,1,2,24,4
2,6,6,926,10,2,2,1,28,0
1,77,6,283,119,1,4,2,66,2
2,80,8,776,126,1,1,1,70,1
2,83,7,613,158,1,0,1,55,10
2,63,6,993,64,2,5,1,55,4
2,61,0,343,102,2,0,2,94,3
2,30,6,363,50,2,2,2,68,5
1,59,8,626,23,1,2,1,55,5
2,44,9,468,30,1,3,1,95,5
2,7,0,477,47,2,4,1,77,5
1,65,6,943,63,2,4,2,89,3
2,26,3,58,4,2,3,1,53,4
2,52,2,651,5,2,5,1,68,2
1,28,6,319,192,1,3,1,23,9
2,54,1,259,61,2,3,1,24,0
1,67,3,482,62,1,1,2,40,3
1,22,5,15,72,1,0,1,3,5
2,32,10,390,55,2,5,1,78,2
1,48,3,355,183,1,3,2,90,6
1,68,10,996,145,2,3,1,57,0
2,72,10,776,50,1,4,2,72,3
2,90,0,560,178,2,4,2,52,1
1,9,1,492,11,2,4,1,65,6
2,60,7,971,89,2,3,2,14,1
2,99,8,992,40,2,3,2,97,10
1,46,3,963,173,1,5,1,87,5
1,16,2,776,125,2,5,2,23,2
2,49,3,307,41,2,0,2,7,3
1,70,1,26,80,1,2,1,77,3
1,63,10,289,84,1,0,1,99,8
1,10,6,364,53,1,2,2,105,6
1,24,9,765,193,1,1,1,70,3
2,1,4,388,66,1,4,2,74,6
1,50,4,245,91,2,3,2,28,10
2,47,3,402,194,1,2,1,66,3
2,42,2,110,66,1,0,1,57,8
2,9,8,975,144,2,5,1,103,5
1,52,0,802,149,1,2,2,98,0
2,36,6,35,30,1,0,2,45,9
1,50,9,379,26,2,3,2,93,6
1,60,5,812,107,1,0,1,92,3
1,50,5,88,184,1,3,2,67,4
1,77,0,770,75,1,1,1,81,3
1,15,7,669,67,2,5,1,29,1
2,95,10,679,116,2,5,2,15,1
1,23,2,551,1,2,4,2,71,0
1,70,4,405,45,2,4,1,51,0
2,100,2,861,194,2,4,2,75,7
2,79,4,168,81,2,3,2,36,4
1,45,5,131,26,1,5,1,78,8
2,70,8,961,63,2,1,1,63,6
2,81,1,213,87,2,5,2,61,9
1,99,8,241,148,2,1,2,56,9
1,22,2,416,200,2,5,1,43,9
1,11,7,425,186,2,4,2,92,0
2,64,5,934,65,1,3,2,20,0
1,8,10,961,153,1,4,1,48,0
2,29,2,1000,64,1,0,1,67,10
2,54,10,445,61,1,0,1,67,3
2,18,10,687,43,2,2,2,29,5
1,65,3,25,111,2,4,2,6,5
1,41,6,466,115,2,5,2,82,10
1,100,7,23,86,1,1,2,33,7
1,15,2,758,113,2,1,2,37,7
1,69,3,119,27,2,2,2,0,8
1,91,10,850,7,1,3,2,87,6
1,56,5,211,182,2,4,1,8,2
1,68,3,772,0,1,1,2,94,3
2,93,6,373,119,1,1,2,81,3
1,75,8,778,7,2,5,1,50,1
1,16,5,596,147,2,4,2,95,8
2,52,4,878,113,1,1,2,95,3
1,72,2,733,184,2,3,2,63,8
2,4,3,999,15,1,0,1,86,2
1,65,0,887,160,2,5,2,42,10
1,27,5,860,128,2,2,2,44,4
1,85,9,111,126,2,0,2,7,4
2,92,5,320,122,2,5,1,100,2
1,53,2,340,19,2,0,2,7,6
1,77,2,509,163,2,4,2,78,1
1,44,1,831,188,2,1,2,28,8
1,83,2,126,122,1,1,1,11,3
1,41,8,49,140,1,5,1,7,7
